strain	serotype	genotype	date	region	country	division	locate	host	passage	specimen	additional host information	sequencing technology	assembly method	comment	comment type
EPI_ISL_11579754	DENV2	III-Asian-American	2019-05-08	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Partial NS5 gene sequence is reported.	
EPI_ISL_11579757	DENV2	III-Asian-American	2019-05-04	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Stretches of NNNs (7.30%% of overall sequence). Partial NS5 gene sequence is reported.	warn
EPI_ISL_11579758	DENV2	III-Asian-American	2019-05-03	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Stretches of NNNs (7.28%% of overall sequence). Partial NS5 gene sequence is reported.	warn
EPI_ISL_11579761	DENV2	III-Asian-American	2019-05-02	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Stretches of NNNs (7.38%% of overall sequence). Partial NS5 gene sequence is reported.	warn
EPI_ISL_11579763	DENV2	III-Asian-American	2019-04-26	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Stretches of NNNs (7.30%% of overall sequence). Partial NS5 gene sequence is reported.	warn
EPI_ISL_11579765	DENV2	III-Asian-American	2019-04-13	South America	Brazil			Human	Original	Serum		Oxford Nanopore MinION	Nanopolish v. 0.11.1	Partial NS5 gene sequence is reported.	
EPI_ISL_11579770	DENV2	III-Asian-American	2019-02-16	South America	Brazil			Human	Original	Serum		Nanopore MinION	Nanopolish v. 0.11.1	Partial NS5 gene sequence is reported.	
EPI_ISL_11579771	DENV2	III-Asian-American	2019-02-15	South America	Brazil			Human	Original	Serum		Nanopore MinION	Nanopolish v. 0.11.1	Stretches of NNNs (7.54%% of overall sequence). Partial NS5 gene sequence is reported.	warn
EPI_ISL_12001738	DENV2	II-Cosmopolitan	2018-11-09	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12001740	DENV2	II-Cosmopolitan	2018-11-09	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12001744	DENV2	II-Cosmopolitan	2018-11-08	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12001835	DENV2	II-Cosmopolitan	2018-10-31	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12001836	DENV2	II-Cosmopolitan	2018-10-28	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12001837	DENV2	II-Cosmopolitan	2018-10-28	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12001838	DENV2	II-Cosmopolitan	2018-10-28	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12001917	DENV2	II-Cosmopolitan	2018-10-28	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12002622	DENV2	II-Cosmopolitan	2018-10-26	Africa	Senegal			Human	Original			Illumina	Spades v. 2.5; BWA v. 0.7.17		
EPI_ISL_12665303	DENV2	III-Asian-American	2021-05-10	South America	Colombia			Human	Original	Serum		Illumina	BWA v. v. 0.7.17	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_12665304	DENV2	III-Asian-American	2021-04-09	South America	Colombia			Human	Original	Serum		Illumina	BWA v. v. 0.7.17	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_12665305	DENV2	III-Asian-American	2021-04-09	South America	Colombia			Human	Original	Serum		Illumina	BWA v. v. 0.7.17	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_13154917	DENV2	III-Asian-American	2015-01-29	South America	Venezuela	Aragua		Human	Original			IonTorrent	EDGE v. 2.3.0	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_13469902	DENV2	V-AsianI	2018-07-13	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_13512179	DENV2	II-Cosmopolitan	2018-05-17	Asia	China	Guangdong	Guangzhou	Human	Original	Serum		Sanger		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_13531025	DENV2	II-Cosmopolitan	2019-07-02	Asia	China	Guangdong	Guangzhou	Human	Original	Serum		Sanger		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_13531026	DENV2	II-Cosmopolitan	2019-06-15	Asia	China	Guangdong		Human	Original	Serum		Sanger			
EPI_ISL_13531035	DENV2	II-Cosmopolitan	2019-09-16	Asia	China	Guangdong	Guangzhou	Human	Original			Illumina	CLC Genomics Workbench v. 21.0.5		
EPI_ISL_13531036	DENV2	II-Cosmopolitan	2019-08-16	Asia	China	Guangdong	Guangzhou	Human	Original	Serum		Sanger			
EPI_ISL_13531039	DENV2	II-Cosmopolitan	2018-08-28	Asia	China	Guangdong	Guangzhou	Human	Original	Serum		Sanger			
EPI_ISL_13531040	DENV2	II-Cosmopolitan	2017-08-07	Asia	China	Guangdong	Guangzhou	Human	Original	Serum		Sanger			
EPI_ISL_13531042	DENV2	II-Cosmopolitan	2019-07-08	Asia	China	Guangdong		Human	Original	Serum		Sanger			
EPI_ISL_13531046	DENV2	V-AsianI	2019-05-31	Asia	China	Guangdong		Human	Original	Serum		Sanger		Gap of 57 nucleotides when compared to the reference sequence.	warn
EPI_ISL_13564402	DENV2	II-Cosmopolitan	2019-07-02	Asia	China	Guangdong	Guangzhou	Human	Original	Serum		Sanger		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_13564403	DENV2	II-Cosmopolitan	2019-07-02	Asia	China	Guangdong	Guangzhou	Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0	Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_13564405	DENV2	II-Cosmopolitan	2019-06-15	Asia	China	Guangdong		Human	Original	Serum		Sanger			
EPI_ISL_13564406	DENV2	II-Cosmopolitan	2019-06-15	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_13564419	DENV2	II-Cosmopolitan	2019-08-16	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_13564421	DENV2	II-Cosmopolitan	2019-08-04	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_13564626	DENV2	II-Cosmopolitan	2019-06-20	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_13564629	DENV2	II-Cosmopolitan	2018-08-28	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_13564630	DENV2	II-Cosmopolitan	2018-05-17	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0	Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_13564631	DENV2	II-Cosmopolitan	2017-08-07	Asia	China	Guangdong		Human	Original	Serum		Sanger			
EPI_ISL_13564632	DENV2	II-Cosmopolitan	2017-08-07	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_13564913	DENV2	II-Cosmopolitan	2019-07-08	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_13566018	DENV2	V-AsianI	2019-05-31	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_14853337	DENV2	II-Cosmopolitan	2022-07-25	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 23.0	Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_14908638	DENV2	III-Asian-American	2021-05-28	South America	Brazil	Sao Paulo	Sorocaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908639	DENV2	III-Asian-American	2021-05-28	South America	Brazil	Sao Paulo	Itanhaem	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908640	DENV2	III-Asian-American	2020-01-02	South America	Brazil	Sao Paulo	Hortolandia	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908641	DENV2	III-Asian-American	2020-01-18	South America	Brazil	Sao Paulo	Mogi das Cruzes	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908642	DENV2	III-Asian-American	2020-01-21	South America	Brazil	Sao Paulo	Santa Cruz das Palmeiras	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908643	DENV2	III-Asian-American	2020-01-15	South America	Brazil	Sao Paulo	Pindamonhangaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908644	DENV2	III-Asian-American	2020-01-21	South America	Brazil	Sao Paulo	Cunha	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908645	DENV2	III-Asian-American	2020-01-14	South America	Brazil	Sao Paulo	Ourinhos	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908646	DENV2	III-Asian-American	2020-01-28	South America	Brazil	Sao Paulo	Osvaldo Cruz	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908647	DENV2	III-Asian-American	2020-02-10	South America	Brazil	Sao Paulo	Bastos	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908648	DENV2	III-Asian-American	2020-02-08	South America	Brazil	Sao Paulo	Moji Mirim	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908649	DENV2	III-Asian-American	2020-02-17	South America	Brazil	Sao Paulo	Guaruja	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908650	DENV2	III-Asian-American	2020-02-14	South America	Brazil	Sao Paulo	Conchal	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908651	DENV2	III-Asian-American	2020-02-27	South America	Brazil	Sao Paulo	Sao Paulo	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908652	DENV2	III-Asian-American	2020-03-19	South America	Brazil	Sao Paulo	Porto Feliz	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908653	DENV2	III-Asian-American	2020-03-16	South America	Brazil	Sao Paulo	Mogi Guacu	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908654	DENV2	III-Asian-American	2020-02-04	South America	Brazil	Sao Paulo	Lorena	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908655	DENV2	III-Asian-American	2021-01-14	South America	Brazil	Sao Paulo	Santos	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908656	DENV2	III-Asian-American	2021-01-21	South America	Brazil	Sao Paulo	Birigui	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908657	DENV2	III-Asian-American	2021-02-04	South America	Brazil	Sao Paulo	Barueri	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908658	DENV2	III-Asian-American	2021-02-22	South America	Brazil	Sao Paulo	Cubatao	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908659	DENV2	III-Asian-American	2021-02-10	South America	Brazil	Sao Paulo	Sao Vicente	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908660	DENV2	III-Asian-American	2021-02-20	South America	Brazil	Sao Paulo	Castilho	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908661	DENV2	III-Asian-American	2021-03-18	South America	Brazil	Sao Paulo	Ubatuba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908662	DENV2	III-Asian-American	2021-03-18	South America	Brazil	Sao Paulo	Ubatuba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908663	DENV2	III-Asian-American	2021-03-02	South America	Brazil	Sao Paulo	Andradina	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908664	DENV2	III-Asian-American	2021-03-25	South America	Brazil	Sao Paulo	Tiete	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908665	DENV2	III-Asian-American	2021-04-02	South America	Brazil	Sao Paulo	Ilhabela	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908666	DENV2	III-Asian-American	2021-04-06	South America	Brazil	Sao Paulo	Pirajui	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908667	DENV2	III-Asian-American	2021-04-09	South America	Brazil	Sao Paulo	Piracicaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908668	DENV2	III-Asian-American	2021-04-07	South America	Brazil	Sao Paulo	Bertioga	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908669	DENV2	III-Asian-American	2021-03-25	South America	Brazil	Sao Paulo	Arco-Iris	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908670	DENV2	III-Asian-American	2021-04-13	South America	Brazil	Sao Paulo	Tupa	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908671	DENV2	III-Asian-American	2021-04-19	South America	Brazil	Sao Paulo	Itabera	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908672	DENV2	III-Asian-American	2021-05-06	South America	Brazil	Sao Paulo	Itu	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908673	DENV2	III-Asian-American	2021-04-25	South America	Brazil	Sao Paulo	Piracicaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908674	DENV2	III-Asian-American	2021-04-30	South America	Brazil	Sao Paulo	Rubiacea	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908675	DENV2	III-Asian-American	2021-05-04	South America	Brazil	Sao Paulo	Mirandopolis	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908676	DENV2	III-Asian-American	2020-04-03	South America	Brazil	Sao Paulo	Sao Pedro do Turvo	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908677	DENV2	III-Asian-American	2021-05-07	South America	Brazil	Sao Paulo	Praia Grande	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908678	DENV2	II-Cosmopolitan	2022-01-30	South America	Brazil	Sao Paulo	Piracicaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908679	DENV2	II-Cosmopolitan	2022-02-05	South America	Brazil	Sao Paulo	Piracicaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908680	DENV2	III-Asian-American	2022-03-17	South America	Brazil	Sao Paulo	Tremembe	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908681	DENV2	III-Asian-American	2022-03-11	South America	Brazil	Sao Paulo	Piracicaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908682	DENV2	II-Cosmopolitan	2022-03-14	South America	Brazil	Sao Paulo	Piracicaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_14908683	DENV2	III-Asian-American	2022-03-21	South America	Brazil	Sao Paulo	Sao Jose dos Campos	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908684	DENV2	III-Asian-American	2022-03-26	South America	Brazil	Sao Paulo	Taubate	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908685	DENV2	II-Cosmopolitan	2022-03-06	South America	Brazil	Sao Paulo	Piracicaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4	NS3_G347stop results in 44.0% truncation of the protein sequence. NS3_W344stop results in 44.5% truncation of the protein sequence.	info
EPI_ISL_14908686	DENV2	III-Asian-American	2022-03-25	South America	Brazil	Sao Paulo	Dracena	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908687	DENV2	III-Asian-American	2022-03-28	South America	Brazil	Sao Paulo	Diadema	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908688	DENV2	III-Asian-American	2022-04-13	South America	Brazil	Sao Paulo	Dracena	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_14908689	DENV2	II-Cosmopolitan	2022-03-24	South America	Brazil	Sao Paulo	Santa Rosa de Viterbo	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908690	DENV2	II-Cosmopolitan	2022-03-15	South America	Brazil	Sao Paulo	Sao Jose dos Campos	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908691	DENV2	III-Asian-American	2022-04-11	South America	Brazil	Sao Paulo	Tremembe	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908692	DENV2	III-Asian-American	2022-04-05	South America	Brazil	Sao Paulo	Sao Sebastiao	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908693	DENV2	III-Asian-American	2022-04-14	South America	Brazil	Sao Paulo	Monte Castelo	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908694	DENV2	III-Asian-American	2022-04-25	South America	Brazil	Sao Paulo	Carapicuiba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908695	DENV2	II-Cosmopolitan	2022-03-18	South America	Brazil	Sao Paulo	Piracicaba	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_14908696	DENV2	II-Cosmopolitan	2022-04-02	South America	Brazil	Sao Paulo	Guapiacu	Human	Original	Serum		Illumina MiSeq	Geneious 10.2.4		
EPI_ISL_1502731	DENV2	II-Cosmopolitan	2021-02-02	Asia	China	Guangdong	Guangzhou	Human	Original	Serum		Sanger		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_15416610	DENV2	II-Cosmopolitan	2019-11-30	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15416611	DENV2	V-AsianI	2019-11-29	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15416612	DENV2	II-Cosmopolitan	2019-11-14	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15416613	DENV2	V-AsianI	2019-10-24	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15416929	DENV2	II-Cosmopolitan	2019-10-15	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15416930	DENV2	IV-AsianII	2019-10-13	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15416931	DENV2	II-Cosmopolitan	2019-10-12	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15416983	DENV2	II-Cosmopolitan	2019-10-06	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1	Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_15416984	DENV2	II-Cosmopolitan	2019-10-03	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15416985	DENV2	II-Cosmopolitan	2019-09-28	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417893	DENV2	II-Cosmopolitan	2019-09-17	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417894	DENV2	V-AsianI	2019-09-07	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417895	DENV2	V-AsianI	2019-09-05	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417897	DENV2	II-Cosmopolitan	2019-08-08	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417898	DENV2	II-Cosmopolitan	2019-07-31	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417902	DENV2	II-Cosmopolitan	2019-01-20	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417903	DENV2	V-AsianI	2019-01-16	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417905	DENV2	V-AsianI	2018-12-22	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417906	DENV2	V-AsianI	2018-12-05	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417907	DENV2	V-AsianI	2018-11-22	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417908	DENV2	V-AsianI	2018-11-04	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417910	DENV2	V-AsianI	2018-09-20	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417911	DENV2	II-Cosmopolitan	2018-09-07	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417912	DENV2	V-AsianI	2018-09-04	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417913	DENV2	V-AsianI	2018-09-03	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417914	DENV2	II-Cosmopolitan	2018-08-01	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417915	DENV2	II-Cosmopolitan	2018-07-03	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417916	DENV2	II-Cosmopolitan	2018-07-02	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417917	DENV2	II-Cosmopolitan	2018-06-20	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417918	DENV2	II-Cosmopolitan	2018-06-16	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417919	DENV2	II-Cosmopolitan	2018-05-28	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417920	DENV2	II-Cosmopolitan	2018-05-27	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417921	DENV2	II-Cosmopolitan	2017-09-27	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417922	DENV2	II-Cosmopolitan	2017-09-26	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417923	DENV2	II-Cosmopolitan	2017-09-26	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417924	DENV2	II-Cosmopolitan	2017-09-23	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417925	DENV2	II-Cosmopolitan	2017-09-21	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417926	DENV2	II-Cosmopolitan	2017-09-20	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417927	DENV2	II-Cosmopolitan	2017-09-19	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417928	DENV2	II-Cosmopolitan	2017-09-18	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417929	DENV2	II-Cosmopolitan	2017-09-12	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417930	DENV2	II-Cosmopolitan	2017-09-12	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417931	DENV2	II-Cosmopolitan	2017-09-11	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417932	DENV2	II-Cosmopolitan	2017-09-07	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417933	DENV2	II-Cosmopolitan	2017-09-06	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417934	DENV2	II-Cosmopolitan	2017-09-05	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
